epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.089,1.4954,2.25145,1.53001,0.64536,0.63862,0.66438,0.38161,1.56247,1.54135,1.59845,0.000408805,0.000408805,0.000408805
2,41.7232,1.51378,1.42922,1.49509,0.60675,0.44322,0.5229,0.28703,1.61161,2.82264,1.76655,0.0008173,0.0008173,0.0008173
3,61.8658,1.51223,1.4007,1.52672,0.47158,0.40903,0.42972,0.23174,1.72046,2.28637,1.86453,0.00121754,0.00121754,0.00121754
4,81.3328,1.54272,1.40531,1.52595,0.52712,0.28197,0.30534,0.16702,1.90887,2.29961,1.9794,0.00121287,0.00121287,0.00121287
5,99.8978,1.50583,1.34634,1.52202,0.58199,0.49809,0.51991,0.26819,1.74635,1.79054,1.90139,0.0012005,0.0012005,0.0012005
6,118.647,1.47171,1.27125,1.49561,0.61453,0.55918,0.59164,0.29759,1.69664,2.34103,1.74556,0.00118812,0.00118812,0.00118812
7,137.717,1.45896,1.22091,1.46114,0.70053,0.58331,0.6317,0.33619,1.54894,1.77007,1.64305,0.00117575,0.00117575,0.00117575
8,156.311,1.41195,1.19154,1.44655,0.773,0.70546,0.8097,0.49031,1.42216,1.23509,1.53847,0.00116337,0.00116337,0.00116337
9,175.769,1.37842,1.13923,1.41668,0.69561,0.70249,0.74066,0.41571,1.55907,1.30029,1.66796,0.001151,0.001151,0.001151
10,194.166,1.3906,1.10751,1.4353,0.73677,0.71263,0.79334,0.48698,1.26981,1.3208,1.40793,0.00113863,0.00113863,0.00113863
11,213.399,1.33964,1.09417,1.40205,0.74533,0.75705,0.78593,0.45496,1.55808,1.13006,1.5422,0.00112625,0.00112625,0.00112625
12,231.828,1.33309,1.05829,1.40457,0.82571,0.74458,0.84934,0.52551,1.28691,1.00499,1.43961,0.00111388,0.00111388,0.00111388
13,251.042,1.27768,1.01455,1.37166,0.77186,0.77831,0.81858,0.49583,1.28908,1.05626,1.46173,0.0011015,0.0011015,0.0011015
14,269.464,1.28508,0.98047,1.36351,0.79096,0.80751,0.85014,0.52391,1.33661,0.96241,1.39804,0.00108913,0.00108913,0.00108913
15,288.321,1.26954,0.96896,1.3481,0.78468,0.79532,0.88845,0.58656,1.21688,0.8909,1.35369,0.00107675,0.00107675,0.00107675
16,307.251,1.24123,0.94531,1.34505,0.8784,0.78771,0.88579,0.51208,1.33704,0.90311,1.48104,0.00106437,0.00106437,0.00106437
17,325.767,1.27169,0.9541,1.35695,0.80069,0.74625,0.80074,0.5057,1.31653,0.97992,1.40138,0.001052,0.001052,0.001052
18,344.897,1.24653,0.92279,1.33719,0.83511,0.79941,0.86475,0.53085,1.25142,0.84083,1.37653,0.00103962,0.00103962,0.00103962
19,363.53,1.20666,0.87499,1.31006,0.86989,0.82157,0.89578,0.6111,1.13831,0.79063,1.28034,0.00102725,0.00102725,0.00102725
20,382.935,1.17858,0.86298,1.2957,0.81117,0.79468,0.85885,0.58157,1.14512,0.84737,1.31198,0.00101488,0.00101488,0.00101488
21,401.287,1.20704,0.867,1.3098,0.9086,0.7411,0.88127,0.60088,1.21493,0.82296,1.35835,0.0010025,0.0010025,0.0010025
22,420.5,1.17183,0.84852,1.27484,0.8633,0.76934,0.88664,0.59335,1.13046,0.79634,1.2937,0.000990125,0.000990125,0.000990125
23,438.987,1.12905,0.81298,1.25921,0.8375,0.86683,0.89622,0.56567,1.26218,0.78747,1.34353,0.00097775,0.00097775,0.00097775
24,458.301,1.17035,0.84787,1.29106,0.89031,0.82207,0.89047,0.63501,1.06092,0.73372,1.25555,0.000965375,0.000965375,0.000965375
25,477.533,1.11368,0.81281,1.24784,0.88541,0.82629,0.89546,0.61141,1.11704,0.74169,1.287,0.000953,0.000953,0.000953
26,496.289,1.12595,0.79092,1.26064,0.87428,0.79679,0.88801,0.62034,1.07068,0.77702,1.26611,0.000940625,0.000940625,0.000940625
27,515.572,1.10768,0.78738,1.25049,0.85813,0.75924,0.86262,0.60081,1.052,0.81739,1.23908,0.00092825,0.00092825,0.00092825
28,534.25,1.12277,0.80051,1.25729,0.89618,0.76486,0.87548,0.61694,1.08058,0.80147,1.23892,0.000915875,0.000915875,0.000915875
29,553.521,1.1102,0.76509,1.2415,0.92492,0.84788,0.93218,0.64397,1.19335,0.67812,1.2812,0.0009035,0.0009035,0.0009035
30,572.082,1.06918,0.74014,1.21624,0.91516,0.80718,0.91022,0.66147,0.99936,0.67503,1.17924,0.000891125,0.000891125,0.000891125
